,City,Country,Max Temp,Lat,Lng,Description,Hotel Name
214,Saldanha,ZA,62.26,-33.0117,17.9442,overcast clouds,Blue Bay Lodge
218,Majenang,ID,74.59,-7.2975,108.7642,overcast clouds,Strum Aki Majenang
219,Bubaque,GW,83.17,11.2833,-15.8333,clear sky,"Casa Dora, Bubaque"
220,Faanui,PF,78.87,-16.4833,-151.75,few clouds,Bora-Bora Pearl Beach Resort & Spa
225,Poum,NC,73.89,-20.2333,164.0167,overcast clouds,Gîte kajeon
229,Lagoa,PT,67.24,39.05,-27.9833,overcast clouds,Casa Das Faias
231,Saint-Pierre,RE,73.08,-21.3393,55.4781,broken clouds,Lindsey Hôtel
232,Tual,ID,83.64,-5.6667,132.75,overcast clouds,Grand Vilia Hotel
238,Awbari,LY,79.11,26.5921,12.7805,clear sky,فندق أوباري
240,Acapulco,MX,84.02,16.8634,-99.8901,overcast clouds,HS Hotsson Smart Acapulco
244,Grand Gaube,MU,72.0,-20.0064,57.6608,clear sky,Veranda Paul et Virginie Hotel & Spa
246,Boyolangu,ID,75.51,-8.1181,111.8935,overcast clouds,Yos ega cv
247,Cabedelo,BR,84.87,-6.9811,-34.8339,overcast clouds,Hotel Pigalle
250,Biak,ID,76.57,-0.9131,122.8766,overcast clouds,Penginapan Kim
253,Sorong,ID,80.29,-0.8833,131.25,light rain,waigo splash hotel
254,Saint-Joseph,RE,71.98,-21.3667,55.6167,few clouds,"""Plantation Bed and Breakfast"
258,Bow Island,CA,61.81,49.8668,-111.3684,clear sky,Silver Sage Motel
262,Vung Tau,VN,80.38,10.346,107.0843,overcast clouds,Green hotel
263,Mahebourg,MU,71.89,-20.4081,57.7,few clouds,Shandrani Beachcomber Resort & Spa
267,Carnarvon,AU,64.47,-24.8667,113.6333,scattered clouds,Hospitality Carnarvon
268,Lahat,ID,73.18,-3.8,103.5333,light rain,Hotel Grand Zuri Lahat by ZHM
273,Chake Chake,TZ,76.78,-5.2459,39.7666,clear sky,Hotel Archipelago
280,Bengkulu,ID,75.16,-3.8004,102.2655,moderate rain,Grage Hotel Bengkulu
282,Vilhena,BR,84.42,-12.7406,-60.1458,scattered clouds,Hotel Mirage
283,Coquimbo,CL,64.13,-29.9533,-71.3436,clear sky,Punto de encuentro
284,Hervey Bay,AU,65.01,-25.2986,152.8535,overcast clouds,Shelly Bay Resort
288,Antalaha,MG,71.53,-14.9003,50.2788,clear sky,Hotel Vitasoa
294,Adrar,MR,81.32,20.5022,-10.0711,clear sky,
296,Shasta Lake,US,64.56,40.6804,-122.3708,overcast clouds,Shasta Dam Motel
297,Richards Bay,ZA,70.09,-28.783,32.0377,overcast clouds,BON Hotel Waterfront Richards Bay
298,Gaozhou,CN,71.58,21.9392,110.8461,clear sky,望江楼旅业
299,Sao Joao Da Barra,BR,77.09,-21.6403,-41.0511,few clouds,Pousada Porto De Canoas
301,Namibe,AO,66.16,-15.1961,12.1522,broken clouds,Hotel Chik Chik Namibe
303,Voh,NC,69.71,-20.9667,164.7,overcast clouds,Le gîte du Koniambo
304,San Cristobal,VE,80.78,7.7669,-72.225,overcast clouds,Posada Villaven C.A.
305,Encruzilhada,BR,72.01,-15.5314,-40.9094,light rain,Hotel e Restaurante Rio Pardo
306,Hambantota,LK,79.39,6.1241,81.1185,light rain,Bungalow 63
310,Mogok,MM,60.55,22.9167,96.5,broken clouds,MOGOK HILL HOTEL
314,Wanning,CN,76.89,18.8003,110.3967,scattered clouds,Paradise Hotel
